NGC7293/PK36-57.1;NGC7293;PK36-57.1;6.3;Nebulosa Planetaria 4(3);960s × 720s;22h 29.6m;-20º50';Aquarius
NGC7089/M2;NGC7089;M2;6.5;Cúmulo Globular II;11.7m;21h 33.5m;0º49';Aquarius
NGC7009/PK37-34.1;NGC7009;PK37-34.1;8.3;Nebulosa Planetaria 4(6);28s × 23s;21h 4.2m;-11º22';Aquarius
NGC6981/M72;NGC6981;M72;9.2;Cúmulo Globular IX;5.9m;20h 53.5m;-12º32';Aquarius
NGC6994/M73;NGC6994;M73;9.7;Cúmulo Abierto IV 1 p :b;2.8m;20h 59.0m;-12º38';Aquarius
NGC7727/MCG-2-60-8;NGC7727;MCG-2-60-8;10.6;Galaxia SBap;4.7m × 4.1m;23h 39.9m;-12º18';Aquarius
NGC7606/MCG-2-59-12;NGC7606;MCG-2-59-12;10.8;Galaxia Sbc;4.2m × 2.3m;23h 19.1m;-8º29';Aquarius
NGC7184/ESO601-9;NGC7184;ESO601-9;10.9;Galaxia SBc Ring;5.9m × 1.3m;22h 2.7m;-20º49';Aquarius
NGC7377/ESO534-26;NGC7377;ESO534-26;11.1;Galaxia SBO-a;4.1m × 3.4m;22h 47.8m;-22º19';Aquarius
NGC7492/GCL125;NGC7492;GCL125;11.2;Cúmulo Globular XII;4.3m;23h 8.4m;-15º37';Aquarius
NGC7723/MCG-2-60-5;NGC7723;MCG-2-60-5;11.2;Galaxia SBb;3.5m × 2.2m;23h 39.0m;-12º58';Aquarius
NGC7585/MCG-1-59-15;NGC7585;MCG-1-59-15;11.4;Galaxia Sa;3.1m × 2.7m;23h 18.0m;-4º39';Aquarius
NGC7371/MCG-2-58-1;NGC7371;MCG-2-58-1;11.5;Galaxia SBO-a;1.7m × 1.7m;22h 46.1m;-11º0';Aquarius
NGC7721/MCG-1-60-17;NGC7721;MCG-1-60-17;11.6;Galaxia Sc;3.1m × 1.2m;23h 38.8m;-6º31';Aquarius
NGC7284/ESO533-31;NGC7284;ESO533-31;11.9;Galaxia SBO;2.3m × 1.6m;22h 28.6m;-24º51';Aquarius
NGC7600/MCG-1-59-19;NGC7600;MCG-1-59-19;11.9;Galaxia E-SO;3.1m × 1.6m;23h 18.9m;-7º35';Aquarius
NGC7392/ESO603-22;NGC7392;ESO603-22;11.9;Galaxia SBbc;2.2m × 1.4m;22h 51.8m;-20º37';Aquarius
NGC7183/ESO601-8;NGC7183;ESO601-8;11.9;Galaxia Sa;3.8m × 1.1m;22h 2.4m;-18º55';Aquarius
NGC7285/ESO533-32;NGC7285;ESO533-32;11.9;Galaxia SBa;2.4m × 1.5m;22h 28.6m;-24º50';Aquarius
NGC7218/MCG-3-56-8;NGC7218;MCG-3-56-8;12.0;Galaxia SBc;2.6m × 1.1m;22h 10.2m;-16º40';Aquarius
NGC6709/OCL100;NGC6709;OCL100;6.7;Cúmulo Abierto III 2 m;13m;18h 51.5m;10º21';Aquila
Cr401;Cr401;;7.0;Cúmulo Abierto IV 2 m;1m;19h 38.4m;0º21';Aquila
NGC6755/OCL96;NGC6755;OCL96;7.5;Cúmulo Abierto IV 2 m;15m;19h 7.8m;4º16';Aquila
NGC6738/OCL101;NGC6738;OCL101;8.3;Cúmulo Abierto IV 2 p;15m;19h 1.4m;11º36';Aquila
NGC6760/GCL109;NGC6760;GCL109;9.1;Cúmulo Globular IX;2.4m;19h 11.2m;1º2';Aquila
Pal11;Pal11;;9.8;Cúmulo Globular XI;10m;19h 45.3m;-8º1';Aquila
NGC6756/OCL99;NGC6756;OCL99;10.6;Cúmulo Abierto I 2 m;4m;19h 8.7m;4º42';Aquila
NGC6803/PK46-4.1;NGC6803;PK46-4.1;11.0;Nebulosa Planetaria 2a;4s;19h 31.3m;10º3';Aquila
NGC6814/MCG-2-50-1;NGC6814;MCG-2-50-1;11.2;Galaxia SBbc Ring;3.5m × 3.5m;19h 42.7m;-10º20';Aquila
NGC6790/PK37-6.1;NGC6790;PK37-6.1;11.4;Nebulosa Planetaria 2;2s;19h 23.0m;1º31';Aquila
NGC6852/PK42-14.1;NGC6852;PK42-14.1;11.4;Nebulosa Planetaria 4;28s;20h 0.7m;1º44';Aquila
NGC6781/PK41-2.1;NGC6781;PK41-2.1;11.8;Nebulosa Planetaria 3b(3);111s × 109s;19h 18.5m;6º32';Aquila
NGC6724;NGC6724;;12.0;Cúmulo Abierto ;6.2m;18h 56.8m;10º26';Aquila
NGC6741/PK33-2.1;NGC6741;PK33-2.1;12.0;Nebulosa Planetaria 4;9s × 7s;19h 2.6m;0º27';Aquila
NGC6751/PK29-5.1;NGC6751;PK29-5.1;12.0;Nebulosa Planetaria 3;20s;19h 5.9m;-6º0';Aquila
NGC6837/OCL108;NGC6837;OCL108;12.0;Cúmulo Abierto IV 1p :b;6m × 3m;19h 53.5m;11º41';Aquila
IC5006;IC5006;;12.0;1 estrella ;NA;20h 23.7m;6º28';Aquila
IC4846/PK27-9.1;IC4846;PK27-9.1;12.0;Nebulosa Planetaria 2;2s;19h 16.5m;-9º3';Aquila
PK36-1.1/Sh2-71;PK36-1.1;Sh2-71;12.2;Nebulosa Planetaria 3b(3);2.6m × 1.5m;19h 2.0m;2º9';Aquila
NGC6906/UGC11548;NGC6906;UGC11548;12.3;Galaxia SBbc;1.6m × 0.8m;20h 23.6m;6º27';Aquila
NGC6193/OCL975;NGC6193;OCL975;5.2;Cúmulo Abierto II 3 p n;15m;16h 41.3m;-48º46';Ara
NGC6397/LacIII-11;NGC6397;LacIII-11;5.3;Cúmulo Globular IX;25.7m;17h 40.7m;-53º40';Ara
NGC6250/OCL991;NGC6250;OCL991;5.9;Cúmulo Abierto IV 3 p;10m;16h 57.9m;-45º56';Ara
Hogg22;Hogg22;;6.7;Cúmulo Abierto IV3p;1.5m;16h 46.7m;-47º5';Ara
IC4651/OCL987;IC4651;OCL987;6.9;Cúmulo Abierto II 3 m;10m;17h 24.8m;-49º56';Ara
NGC6208/OCL964;NGC6208;OCL964;7.2;Cúmulo Abierto II 1 m;18m;16h 49.5m;-53º44';Ara
NGC6200/OCL978;NGC6200;OCL978;7.4;Cúmulo Abierto III 2 m;12m;16h 44.1m;-47º28';Ara
NGC6352/Dunlop417;NGC6352;Dunlop417;7.8;Cúmulo Globular XI;7.1m;17h 25.5m;-48º25';Ara
NGC6204/OCL982;NGC6204;OCL982;8.2;Cúmulo Abierto I 2 p;5m;16h 46.2m;-47º1';Ara
NGC6362/Dunlop225;NGC6362;Dunlop225;8.3;Cúmulo Globular X;10.7m;17h 31.9m;-67º3';Ara
Cr307;Cr307;;9.2;Cúmulo Abierto III 2 p;6m;16h 35.3m;-50º58';Ara
NGC6221/ESO138-3;NGC6221;ESO138-3;9.9;Galaxia SBc;3.9m × 2.7m;16h 52.8m;-59º13';Ara
NGC6300/ESO101-25;NGC6300;ESO101-25;10.2;Galaxia SBb;4.7m × 2.9m;17h 17.0m;-62º49';Ara
NGC6253/OCL972;NGC6253;OCL972;10.2;Cúmulo Abierto I 3 m;4m;16h 59.1m;-52º43';Ara
NGC6215/ESO137-46;NGC6215;ESO137-46;11.5;Galaxia Sc;2.2m × 2m;16h 51.1m;-59º0';Ara
PK342-14.1/Shapley3;PK342-14.1;Shapley3;11.9;Nebulosa Planetaria ;36s;18h 7.4m;-51º3';Ara
PK325-12.1/He2-182;PK325-12.1;He2-182;12.0;Nebulosa Planetaria ;3s;16h 54.6m;-64º14';Ara
NGC6326/PK338-8.1;NGC6326;PK338-8.1;12.0;Nebulosa Planetaria 3b;15s × 10s;17h 20.8m;-51º45';Ara
IC1266/PK345-8.1;IC1266;PK345-8.1;12.3;Nebulosa Planetaria 4;13s;17h 45.6m;-46º5';Ara
NGC6328/ESO102-3;NGC6328;ESO102-3;12.3;Galaxia SBab;2.5m × 1.4m;17h 23.7m;-65º1';Ara
NGC224/M31;NGC224;M31;3.4;Galaxia Sb;189m × 61m;0h 42.7m;41º16';Andromeda
NGC7686/OCL251;NGC7686;OCL251;5.6;Cúmulo Abierto IV 1 p;15m;23h 30.1m;49º8';Andromeda
NGC752/OCL363;NGC752;OCL363;5.7;Cúmulo Abierto III 1 m;50m;1h 57.7m;37º40';Andromeda
NGC221/M32;NGC221;M32;8.1;Galaxia E2;8.5m × 6.5m;0h 42.7m;40º52';Andromeda
NGC205/M110;NGC205;M110;8.1;Galaxia SA0;19.5m × 11.5m;0h 40.4m;41º41';Andromeda
NGC272/OCL312;NGC272;OCL312;8.5;Cúmulo Abierto IV 1 p;NA;0h 51.4m;35º49';Andromeda
NGC7662/PK106-17.1;NGC7662;PK106-17.1;8.6;Nebulosa Planetaria 4(3);17s × 14s;23h 25.9m;42º32';Andromeda
NGC956/OCL377;NGC956;OCL377;8.9;Cúmulo Abierto IV 1 p;8m;2h 32.5m;44º36';Andromeda
NGC891/UGC1831;NGC891;UGC1831;9.9;Galaxia Sb;13.1m × 2.8m;2h 22.6m;42º21';Andromeda
NGC404/UGC718;NGC404;UGC718;10.3;Galaxia E0;4.3m × 3.9m;1h 9.4m;35º43';Andromeda
IC239/UGC2080;IC239;UGC2080;11.1;Galaxia SBa;4.6m × 4.2m;2h 36.5m;38º58';Andromeda
NGC812/UGC1598;NGC812;UGC1598;11.2;Galaxia Sbc;3m × 1.3m;2h 6.9m;44º34';Andromeda
NGC7640/UGC12554;NGC7640;UGC12554;11.3;Galaxia SBbc;10m × 1.9m;23h 22.1m;40º51';Andromeda
MCG+08-01-018;MCG+08-01-018;;12.0;Galaxia ;0.4m × 0.3m;23h 59.9m;47º16';Andromeda
MCG+08-01-016;MCG+08-01-016;;12.0;Galaxia ;1.0m × 0.8m;23h 59.2m;46º53';Andromeda
NGC108/UGC246;NGC108;UGC246;12.1;Galaxia SBO-a;2m × 1.6m;0h 26.0m;29º13';Andromeda
NGC846/NGC847;NGC846;NGC847;12.1;Galaxia SBab;1.9m × 1.7m;2h 12.2m;44º34';Andromeda
NGC80/UGC203;NGC80;UGC203;12.1;Galaxia E-SO;2.2m × 2m;0h 21.2m;22º21';Andromeda
UGC12632/PGC71596;UGC12632;PGC71596;12.1;Galaxia Sm;4.9m × 3.9m;23h 30.0m;41º0';Andromeda
NGC529/UGC955;NGC529;UGC955;12.1;Galaxia E-SO;2.4m × 2.1m;1h 25.7m;34º43';Andromeda
NGC772/UGC1466;NGC772;UGC1466;10.3;Galaxia Sb;7.5m × 4.3m;1h 59.3m;19º0';Aries
NGC821/UGC1631;NGC821;UGC1631;10.7;Galaxia E2;2.4m × 1.7m;2h 8.4m;11º0';Aries
NGC972/UGC2045;NGC972;UGC2045;11.4;Galaxia Sab;3.3m × 1.6m;2h 34.2m;29º19';Aries
NGC691/UGC1305;NGC691;UGC1305;11.4;Galaxia Sbc;3.4m × 2.5m;1h 50.7m;21º46';Aries
NGC1156/UGC2455;NGC1156;UGC2455;11.7;Galaxia Ir+;3.3m × 2.8m;2h 59.7m;25º14';Aries
NGC877/UGC1768;NGC877;UGC1768;11.9;Galaxia SBbc;2.4m × 1.9m;2h 18.0m;14º33';Aries
NGC680/UGC1286;NGC680;UGC1286;11.9;Galaxia SOp;1.8m × 1.6m;1h 49.8m;21º58';Aries
NGC697/NGC674;NGC697;NGC674;12.0;Galaxia SBbc;4.4m × 1.4m;1h 51.3m;22º21';Aries
NGC1012/UGC2141;NGC1012;UGC2141;12.0;Galaxia Sa;2.5m × 1.1m;2h 39.2m;30º9';Aries
NGC1134/UGC2365;NGC1134;UGC2365;12.1;Galaxia Sb;2.5m × 0.9m;2h 53.7m;13º1';Aries
NGC1024/UGC2142;NGC1024;UGC2142;12.1;Galaxia Sab;3.9m × 1.5m;2h 39.2m;10º51';Aries
NGC678/UGC1280;NGC678;UGC1280;12.2;Galaxia SBb;4.1m × 0.8m;1h 49.4m;22º0';Aries
NGC677/UGC1275;NGC677;UGC1275;12.2;Galaxia Elliptical;2m × 2m;1h 49.2m;13º3';Aries
NGC918/UGC1888;NGC918;UGC1888;12.2;Galaxia SBc;3.5m × 2m;2h 25.8m;18º30';Aries
NGC976/UGC2042;NGC976;UGC2042;12.4;Galaxia Sbc;1.6m × 1.3m;2h 34.0m;20º59';Aries
NGC990/UGC2089;NGC990;UGC2089;12.4;Galaxia Elliptical;1.8m × 1.5m;2h 36.3m;11º39';Aries
NGC924/UGC1912;NGC924;UGC1912;12.4;Galaxia SO;2.3m × 1.3m;2h 26.8m;20º30';Aries
NGC1056/UGC2183;NGC1056;UGC2183;12.4;Galaxia Sa;2.4m × 1.1m;2h 42.8m;28º34';Aries
NGC776/UGC1471;NGC776;UGC1471;12.4;Galaxia SBb;1.7m × 1.7m;1h 59.9m;23º39';Aries
NGC938/UGC1947;NGC938;UGC1947;12.4;Galaxia Elliptical;1.6m × 1.2m;2h 28.6m;20º17';Aries
NGC6101/GCL40;NGC6101;GCL40;9.3;Cúmulo Globular X;10.7m;16h 25.8m;-72º12';Apus
IC4499/GCL30;IC4499;GCL30;10.1;Cúmulo Globular XI;7.6m;15h 0.3m;-82º13';Apus
PK315-13.1/He2-131;PK315-13.1;He2-131;11.8;Nebulosa Planetaria ;4.9s;15h 37.2m;-71º55';Apus
NGC5833/ESO42-3;NGC5833;ESO42-3;12.0;Galaxia Sbc;3.1m × 2.3m;15h 11.9m;-72º52';Apus
NGC5967/ESO42-10;NGC5967;ESO42-10;12.0;Galaxia SBc;2.7m × 1.7m;15h 48.3m;-75º40';Apus
NGC5612/ESO22-1;NGC5612;ESO22-1;12.1;Galaxia Sab;1.9m × 1.1m;14h 34.0m;-78º23';Apus
NGC6392/ESO70-12;NGC6392;ESO70-12;12.5;Galaxia Sab;1.3m × 1.3m;17h 43.5m;-69º47';Apus
NGC6209/ESO43-8;NGC6209;ESO43-8;12.6;Galaxia Sbc;2m × 1.6m;16h 55.0m;-72º35';Apus
NGC5967A/ESO42-9;NGC5967A;ESO42-9;13.3;Galaxia SBc;2m × 1.5m;15h 47.0m;-75º47';Apus
PK308-12.1/He2-105;PK308-12.1;He2-105;13.4;Nebulosa Planetaria ;35s;14h 15.5m;-74º13';Apus
NGC6557/ESO45-1;NGC6557;ESO45-1;13.9;Galaxia SO;1.6m × 1.1m;18h 21.4m;-76º35';Apus
NGC5799/ESO67-6;NGC5799;ESO67-6;14.3;Galaxia Sa;1.3m × 0.9m;15h 5.6m;-72º26';Apus
NGC6151;NGC6151;;99.9;Asterismo ;NA;16h 38.4m;-73º15';Apus
NGC1068/M77;NGC1068;M77;8.9;Galaxia Sbp;7.3m × 6.3m;2h 42.7m;0º1';Cetus
NGC247/ESO540-22;NGC247;ESO540-22;9.1;Galaxia SBcd;21m × 5.6m;0h 47.1m;-20º46';Cetus
IC1613/UGC668;IC1613;UGC668;9.2;Galaxia Ir;16.6m × 14.9m;1h 4.9m;2º8';Cetus
NGC936/UGC1929;NGC936;UGC1929;10.1;Galaxia SBO-a;4.3m × 3.8m;2h 27.6m;-1º9';Cetus
NGC720/MCG-2-5-68;NGC720;MCG-2-5-68;10.2;Galaxia E4;4.4m × 2.2m;1h 53.0m;-13º44';Cetus
NGC908/ESO545-11;NGC908;ESO545-11;10.2;Galaxia SBc;6.1m × 2.7m;2h 23.1m;-21º14';Cetus
